layer_id,value_text,occurrences,layer_has_ontology
"CINEMATOGRAPHY","Vertical close-up handheld framing","7","false"
"COMPOSITION","Centered head-and-shoulders framing","7","false"
"GLOBAL_ASSET_UNDERSTANDING","Short clinical close-up video clip","7","false"
"GLOBAL_ASSET_UNDERSTANDING","Short clinical scalp examination clip","7","false"
"GLOBAL_ASSET_UNDERSTANDING","Short clinical setting video clip","7","false"
"OCR_VISIBLE_TEXT","No legible on-screen text","7","false"
"OCR_VISIBLE_TEXT","Partial embroidered text on scrub top","7","false"
"PEOPLE_ROLES","Practitioner and reclining patient","7","false"
"PEOPLE_ROLES","Practitioner and reclining recipient","7","false"
"SPEECH_TRANSCRIPT_AUDIO","Audio track present but no speech detected","7","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected despite audio stream","7","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected despite audio track present","7","false"
"ASSET_IDENTITY_PROVENANCE","MP4 video asset, single scene","6","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG/MPO photo with filename and checksum metadata","6","false"
"CINEMATOGRAPHY","Close-up handheld shot","6","false"
"CINEMATOGRAPHY","Extreme close-up macro shot with shallow depth of field","6","false"
"CINEMATOGRAPHY","Extreme close-up, handheld angle","6","false"
"COMPOSITION","Head centered and filling most of the frame","6","false"
"MARKETING_CONTENT_USAGE","No marketing content present","6","false"
"PEOPLE_ROLES","Clinician and reclining patient","6","false"
"PEOPLE_ROLES","Clinician attending to a reclined patient","6","false"
"PEOPLE_ROLES","No people visible","6","false"
"PEOPLE_ROLES","Patient and gloved practitioner","6","false"
"PEOPLE_ROLES","Practitioner and patient","6","false"
"PEOPLE_ROLES","Worker and reclining client","6","false"
"RELATIONSHIPS","Clinician attending to patient","6","true"
"RELATIONSHIPS","Clinician hands interacting directly with patient's face","6","true"
"RELATIONSHIPS","Practitioner hand interacting directly with patient's facial skin","6","true"
"RELATIONSHIPS","Practitioner hands interacting with patient's face","6","true"
"SPEECH_TRANSCRIPT_AUDIO","Audio present but no speech","6","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, no cuts","6","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, no cuts","6","false"
"ACTIONS_EVENTS","Clinician applies handheld device to patient's face","5","true"
"ASSET_IDENTITY_PROVENANCE","JPEG asset with supplied identity metadata","5","false"
"ASSET_IDENTITY_PROVENANCE","Scene 0 from supplied MP4 asset","5","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG/MPO image file with checksum and filename metadata","5","false"
"CINEMATOGRAPHY","Close vertical handheld framing","5","false"
"CINEMATOGRAPHY","Close-up handheld vertical video shot","5","false"
"CINEMATOGRAPHY","Close-up profile shot with shallow depth of field","5","false"
"CINEMATOGRAPHY","Close, handheld-style framing","5","false"
"CINEMATOGRAPHY","Close, handheld-style vertical framing","5","false"
"CINEMATOGRAPHY","Extreme close-up macro shot","5","false"
"CINEMATOGRAPHY","Extreme close-up, static framing","5","false"
"CINEMATOGRAPHY","Extreme close-up, vertical framing, shallow depth of field","5","false"
"CINEMATOGRAPHY","Static vertical close-up shot","5","false"
"CINEMATOGRAPHY","Vertical handheld close-up shot","5","false"
"COMPOSITION","Clinician positioned above reclined patient","5","false"
"GLOBAL_ASSET_UNDERSTANDING","Single continuous clinical scene","5","false"
"MARKETING_CONTENT_USAGE","No marketing overlays present","5","false"
"OCR_VISIBLE_TEXT","Embroidered name text on scrub top","5","false"
"OCR_VISIBLE_TEXT","No readable text detected in frames","5","false"
"PEOPLE_ROLES","One individual visible, role not specified","5","false"
"PEOPLE_ROLES","One practitioner and one patient","5","false"
"RELATIONSHIPS","No interpersonal relationships depicted","5","true"
"SEMANTIC_NARRATIVE","Documentation-style close-up of scalp condition","5","false"
"SPEECH_TRANSCRIPT_AUDIO","Meaningful speech present in audio","5","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene across two sampled keyframes","5","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, two sampled keyframes","5","false"
"TEMPORAL_SCENE_STRUCTURE","One scene sampled by two keyframes","5","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene across 2 keyframes","5","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene across full clip","5","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, ~6 seconds","5","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, 2 keyframes","5","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, two near-identical keyframes","5","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, two sampled keyframes","5","false"
"ACTIONS_EVENTS","Clinician holds device near patient's face","4","true"
"ACTIONS_EVENTS","Device applied to patient's face","4","true"
"ACTIONS_EVENTS","Instrument tip placed against skin","4","true"
"ACTIONS_EVENTS","No actions or events occurring","4","true"
"ASSET_IDENTITY_PROVENANCE","Identified JPEG asset with supplied metadata","4","false"
"ASSET_IDENTITY_PROVENANCE","MP4 video asset with supplied technical metadata","4","false"
"ASSET_IDENTITY_PROVENANCE","MP4 video asset with technical metadata","4","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG image with file metadata","4","false"
"CINEMATOGRAPHY","Close vertical view","4","false"
"CINEMATOGRAPHY","Close-up handheld vertical video framing","4","false"
"CINEMATOGRAPHY","Close-up vertical handheld-style framing","4","false"
"CINEMATOGRAPHY","Close, vertically framed view","4","false"
"CINEMATOGRAPHY","Extreme close-up, handheld angled shot","4","false"
"CINEMATOGRAPHY","Handheld vertical close-up shot","4","false"
"CINEMATOGRAPHY","Handheld vertical video, close framing","4","false"
"CINEMATOGRAPHY","Sharp, evenly lit close-up","4","false"
"CINEMATOGRAPHY","Static handheld vertical shot","4","false"
"CINEMATOGRAPHY","Tight handheld close-up","4","false"
"CINEMATOGRAPHY","Vertical close-up framing","4","false"
"CLINICAL_VISUAL_OBSERVATIONS","No clinical findings visible","4","true"
"CLINICAL_VISUAL_OBSERVATIONS","Skin appears smooth with slight sheen, no visible lesions","4","true"
"COMPOSITION","Centered head-and-shoulders composition","4","false"
"COMPOSITION","Device and tattoo centered in frame","4","false"
"COMPOSITION","Face fills frame diagonally with instrument in foreground","4","false"
"COMPOSITION","Patient centered lower frame, clinician upper frame leaning in","4","false"
"COMPOSITION","Practitioner upper frame, patient lower frame","4","false"
"COMPOSITION","Worker above reclining subject","4","false"
"ENVIRONMENT","Plain light gray studio-style backdrop","4","true"
"ENVIRONMENT","Plain light indoor backdrop","4","true"
"ENVIRONMENT","Plain solid blue backdrop, indoor studio-style setting","4","true"
"GLOBAL_ASSET_UNDERSTANDING","Close-up clinical scalp footage","4","false"
"GLOBAL_ASSET_UNDERSTANDING","Close-up clinical video clip","4","false"
"GLOBAL_ASSET_UNDERSTANDING","Short clinical close-up clip segment","4","false"
"GLOBAL_ASSET_UNDERSTANDING","Single-scene clinical close-up clip","4","false"
"GLOBAL_ASSET_UNDERSTANDING","Single-scene clinical setting clip","4","false"
"MARKETING_CONTENT_USAGE","No marketing content indicators","4","false"
"MARKETING_CONTENT_USAGE","No marketing overlays or branding visible","4","false"
"OCR_VISIBLE_TEXT","Mask brand text visible","4","false"
"OCR_VISIBLE_TEXT","Name embroidered on scrub top","4","false"
"OCR_VISIBLE_TEXT","No readable visible text","4","false"
"OCR_VISIBLE_TEXT","No readable visible text detected","4","false"
"OCR_VISIBLE_TEXT","No visible on-screen text","4","false"
"OCR_VISIBLE_TEXT","No visible text detected in the image","4","false"
"PEOPLE_ROLES","One adult male subject","4","false"
"PEOPLE_ROLES","One clinician, one patient","4","false"
"PEOPLE_ROLES","One reclining patient, one gloved practitioner","4","false"
"PEOPLE_ROLES","Practitioner treating a reclined patient","4","false"
"PEOPLE_ROLES","Provider and reclined patient","4","false"
"PEOPLE_ROLES","Reclined patient and gloved practitioner","4","false"
"PERSON_APPEARANCE","Adult man with short dark hair and facial stubble","4","false"
"RELATIONSHIPS","Clinician positioned directly over patient","4","true"
"RELATIONSHIPS","No interaction between people shown","4","true"
"RELATIONSHIPS","One person attends directly to another","4","true"
"RELATIONSHIPS","Practitioner attending to patient","4","true"
"RELATIONSHIPS","Practitioner attending to recipient","4","true"
"RELATIONSHIPS","Practitioner hands interacting directly with patient's skin","4","true"
"RELATIONSHIPS","Practitioner-patient clinical interaction","4","true"
"RELATIONSHIPS","Two staff working together over one patient","4","true"
"SEMANTIC_NARRATIVE","Documentation-style photo of scalp/hair condition","4","false"
"SEMANTIC_NARRATIVE","Face-focused care interaction","4","false"
"SPEECH_TRANSCRIPT_AUDIO","Audio contains meaningful speech","4","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech content detected despite audio track","4","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech transcribed despite audio track","4","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content detected despite audio track present","4","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content recorded","4","false"
"SPEECH_TRANSCRIPT_AUDIO","No transcribed speech despite audio track","4","false"
"TEMPORAL_SCENE_STRUCTURE","Brief sub-second scene segment","4","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, 2 keyframes","4","false"
"TEMPORAL_SCENE_STRUCTURE","One scene, two sampled keyframes","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene across sampled keyframes","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene across two sampled keyframes","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, ~11 seconds","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, ~5 seconds","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, short clip","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, two similar keyframes","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single scene represented by two keyframes","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single still image","4","false"
"TEMPORAL_SCENE_STRUCTURE","Single-scene video","4","false"
"ACTIONS_EVENTS","Clinician applying handheld device to patient's face","3","true"
"ACTIONS_EVENTS","Device held against cheek","3","true"
"ACTIONS_EVENTS","Device held against skin","3","true"
"ACTIONS_EVENTS","Gloved hand positioning a handheld device near the cheek","3","true"
"ACTIONS_EVENTS","Instrument held near illuminated scalp area","3","true"
"ACTIONS_EVENTS","Instrument tip held in contact with skin","3","true"
"ACTIONS_EVENTS","Instrument tip positioned near facial skin","3","true"
"ACTIONS_EVENTS","No action taking place","3","true"
"ACTIONS_EVENTS","No visible action or event","3","true"
"ACTIONS_EVENTS","Person tilts head downward","3","true"
"ACTIONS_EVENTS","Practitioner positions device near patient's face","3","true"
"ACTIONS_EVENTS","Practitioner positions handpiece near patient's face","3","true"
"ANATOMY","Forearm and hand visible","3","true"
"ANATOMY","No patient anatomy shown","3","true"
"ANATOMY","No patient anatomy visible","3","true"
"ANATOMY","Patient forearm and elbow visible","3","true"
"ASSET_IDENTITY_PROVENANCE","Identified video scene with two supplied keyframes","3","false"
"ASSET_IDENTITY_PROVENANCE","JPEG asset with supplied identifiers","3","false"
"ASSET_IDENTITY_PROVENANCE","MP4 asset with technical metadata","3","false"
"ASSET_IDENTITY_PROVENANCE","MP4 video file, single scene","3","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG image asset with filename and checksum metadata","3","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG image with metadata","3","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG/MPO image with filename and checksum metadata","3","false"
"ASSET_IDENTITY_PROVENANCE","Supplied JPEG asset with identifying metadata","3","false"
"CINEMATOGRAPHY","Close vertical handheld-style framing","3","false"
"CINEMATOGRAPHY","Close-up handheld-style framing on face and hands","3","false"
"CINEMATOGRAPHY","Close-up handheld-style vertical framing","3","false"
"CINEMATOGRAPHY","Close-up vertical handheld framing","3","false"
"CINEMATOGRAPHY","Close-up vertical shot","3","false"
"CINEMATOGRAPHY","Close, handheld vertical framing","3","false"
"CINEMATOGRAPHY","Extreme close-up framing","3","false"
"CINEMATOGRAPHY","Extreme close-up handheld framing","3","false"
"CINEMATOGRAPHY","Extreme close-up macro framing","3","false"
"CINEMATOGRAPHY","Extreme close-up with shallow depth of field","3","false"
"CINEMATOGRAPHY","Extreme close-up, handheld point-of-view style shot","3","false"
"CINEMATOGRAPHY","Extreme close-up, shallow focus shot","3","false"
"CINEMATOGRAPHY","Extreme close-up, static angled shot","3","false"
"CINEMATOGRAPHY","Extreme macro close-up shot","3","false"
"CINEMATOGRAPHY","Handheld close-up shot","3","false"
"CINEMATOGRAPHY","Handheld close-up, vertical framing","3","false"
"CINEMATOGRAPHY","Handheld vertical close-up video","3","false"
"CINEMATOGRAPHY","Handheld vertical video framing","3","false"
"CINEMATOGRAPHY","Overhead close-up shot","3","false"
"CINEMATOGRAPHY","Overhead close-up shot with shallow depth of field","3","false"
"CINEMATOGRAPHY","Static close-up shot of device","3","false"
"CINEMATOGRAPHY","Static vertical framing, medium shot","3","false"
"CINEMATOGRAPHY","Tight close-up framing","3","false"
"CINEMATOGRAPHY","Vertical close-up handheld-style framing","3","false"
"CINEMATOGRAPHY","Vertical close-up video framing","3","false"
"CINEMATOGRAPHY","Vertical handheld video, close medium shot","3","false"
"COMPOSITION","Arm and device centered in frame","3","false"
"COMPOSITION","Clinician centered above reclined patient","3","false"
"COMPOSITION","Clinician positioned above reclined patient, centered composition","3","false"
"COMPOSITION","Clinician upper frame, patient lower frame","3","false"
"COMPOSITION","Device centered vertically in frame","3","false"
"COMPOSITION","Face fills frame with instrument entering from right","3","false"
"COMPOSITION","Face-centered close-up composition","3","false"
"COMPOSITION","Head centered and filling the frame","3","false"
"COMPOSITION","Head centered in frame","3","false"
"COMPOSITION","Head centered in frame against plain backdrop","3","false"
"COMPOSITION","Head centered in frame, filling most of the image","3","false"
"COMPOSITION","Patient centered lower frame, clinician upper frame","3","false"
"COMPOSITION","Patient centered lower frame, staff member upper frame","3","false"
"COMPOSITION","Practitioner positioned above reclining patient","3","false"
"COMPOSITION","Practitioner positioned above, patient reclined below in frame","3","false"
"COMPOSITION","Vertical close-up centered on face and device","3","false"
"ENVIRONMENT","Plain indoor background","3","true"
"ENVIRONMENT","Plain light-colored indoor background","3","true"
"ENVIRONMENT","Plain neutral gray backdrop, indoor studio-like setting","3","true"
"ENVIRONMENT","Plain solid blue studio background","3","true"
"ENVIRONMENT","Plain solid blue studio-style backdrop","3","true"
"ENVIRONMENT","Solid blue backdrop, indoor studio-style setting","3","true"
"GLOBAL_ASSET_UNDERSTANDING","Overhead scalp photograph","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Short clinical-setting video clip","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Short clinical-setting video clip with two keyframes","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Single clinical scene, short clip","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Single close-up clinical scene","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Single close-up keyframe from a 12-second clinical video clip","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Single close-up portrait photograph","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Single keyframe from a short clinical video clip","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Single still photo of the back of a person's head","3","false"
"GLOBAL_ASSET_UNDERSTANDING","Top-down scalp and hair photograph","3","false"
"MARKETING_CONTENT_USAGE","No marketing or branding elements present","3","false"
"MARKETING_CONTENT_USAGE","No visible marketing elements","3","false"
"OCR_VISIBLE_TEXT","'Clearlight' text visible on device","3","false"
"OCR_VISIBLE_TEXT","No legible on-screen text found","3","false"
"OCR_VISIBLE_TEXT","No readable text detected in image","3","false"
"OCR_VISIBLE_TEXT","No text detected","3","false"
"OCR_VISIBLE_TEXT","No visible or detected text","3","false"
"OCR_VISIBLE_TEXT","No visible text detected in frames","3","false"
"OCR_VISIBLE_TEXT","Partial embroidered name on scrub top","3","false"
"OCR_VISIBLE_TEXT","Partial embroidered name text on scrub top","3","false"
"OCR_VISIBLE_TEXT","Partial name text on scrub top","3","false"
"OCR_VISIBLE_TEXT","Partial text visible on clinician's scrub top","3","false"
"OCR_VISIBLE_TEXT","Text 'Clearlight' visible on device","3","false"
"OCR_VISIBLE_TEXT","Text on scrub top","3","false"
"PEOPLE_ROLES","Clinician and reclined patient present","3","false"
"PEOPLE_ROLES","Gloved clinician and a patient","3","false"
"PEOPLE_ROLES","Gloved practitioner and a patient","3","false"
"PEOPLE_ROLES","Gloved practitioner and reclining patient","3","false"
"PEOPLE_ROLES","No people visible in frame","3","false"
"PEOPLE_ROLES","One adult male subject present","3","false"
"PEOPLE_ROLES","One reclining individual and one gloved practitioner hand","3","false"
"PEOPLE_ROLES","One staff member and one reclined patient","3","false"
"PEOPLE_ROLES","Patient's face and a gloved practitioner hand","3","false"
"PEOPLE_ROLES","Practitioner and reclined client","3","false"
"PEOPLE_ROLES","Practitioner hand and patient face visible","3","false"
"PEOPLE_ROLES","Reclined client and gloved practitioner","3","false"
"PERSON_APPEARANCE","Fair-skinned individual, lower face visible","3","false"
"PERSON_APPEARANCE","Hand wearing white/beige latex glove","3","false"
"RELATIONSHIPS","Clinician performing action on patient","3","true"
"RELATIONSHIPS","Clinician performing hands-on activity on patient","3","true"
"RELATIONSHIPS","Clinician performing hands-on care on patient","3","true"
"RELATIONSHIPS","Clinician positioned over reclined patient","3","true"
"RELATIONSHIPS","Clinician working directly on patient","3","true"
"RELATIONSHIPS","Direct clinician-patient physical interaction","3","true"
"RELATIONSHIPS","No interpersonal relationship depicted","3","true"
"RELATIONSHIPS","No visible interpersonal interaction","3","true"
"RELATIONSHIPS","Practitioner attending to client","3","true"
"RELATIONSHIPS","Practitioner hands interacting directly with subject's face","3","true"
"RELATIONSHIPS","Practitioner hands working on patient's face","3","true"
"RELATIONSHIPS","Practitioner performing action on patient","3","true"
"RELATIONSHIPS","Practitioner performing hands-on action on patient","3","true"
"RELATIONSHIPS","Practitioner working directly on patient","3","true"
"RELATIONSHIPS","Practitioner working directly on patient's face","3","true"
"RELATIONSHIPS","Practitioner's gloved hand in direct contact/proximity to patient's face","3","true"
"RELATIONSHIPS","Staff attending to reclined patient","3","true"
"SEMANTIC_NARRATIVE","Clinical scalp examination scene","3","false"
"SEMANTIC_NARRATIVE","Close-up clinical care moment","3","false"
"SEMANTIC_NARRATIVE","Documentation-style close-up of hairline/scalp condition","3","false"
"SEMANTIC_NARRATIVE","Documentation-style close-up of scalp/hairline condition","3","false"
"SEMANTIC_NARRATIVE","Documentation-style portrait highlighting hairline","3","false"
"SPEECH_TRANSCRIPT_AUDIO","Audio track contains meaningful speech","3","false"
"SPEECH_TRANSCRIPT_AUDIO","Audio track present but no meaningful speech","3","false"
"SPEECH_TRANSCRIPT_AUDIO","Audio with meaningful speech present","3","false"
"SPEECH_TRANSCRIPT_AUDIO","Meaningful speech present in audio track","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No meaningful speech present","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech content present","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech content supplied","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected in this scene","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech present","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content detected in this scene","3","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content transcribed","3","false"
"TEMPORAL_SCENE_STRUCTURE","Brief scene segment within longer clip","3","false"
"TEMPORAL_SCENE_STRUCTURE","Brief scene segment within longer video","3","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene across 2 keyframes","3","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, no cuts detected","3","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, single keyframe","3","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, two near-identical keyframes","3","false"
"TEMPORAL_SCENE_STRUCTURE","One scene, two sequential keyframes","3","false"
"TEMPORAL_SCENE_STRUCTURE","Short 0.2s segment within a 15s video","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene of a short clip","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene of device application","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene spanning full clip","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, ~10 seconds","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, near-static framing","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, two sequential keyframes","3","false"
"TEMPORAL_SCENE_STRUCTURE","Single short scene","3","false"
"ACTIONS_EVENTS","Clinician manipulates instrument near patient's face","2","true"
"ACTIONS_EVENTS","Clinician positions handpiece near patient's face","2","true"
